datum,prijs
2022-10-23T00:00:00+02:00,0.202689
2022-10-23T01:00:00+02:00,0.190144
2022-10-23T02:00:00+02:00,0.184029
2022-10-23T03:00:00+02:00,0.180170
2022-10-23T04:00:00+02:00,0.187201
2022-10-23T05:00:00+02:00,0.179451
2022-10-23T06:00:00+02:00,0.196302
2022-10-23T07:00:00+02:00,0.201970
2022-10-23T08:00:00+02:00,0.211409
2022-10-23T09:00:00+02:00,0.206559
2022-10-23T10:00:00+02:00,0.186710
2022-10-23T11:00:00+02:00,0.183647
2022-10-23T12:00:00+02:00,0.172965
2022-10-23T13:00:00+02:00,0.165095
2022-10-23T14:00:00+02:00,0.167428
2022-10-23T15:00:00+02:00,0.167548
2022-10-23T16:00:00+02:00,0.178393
2022-10-23T17:00:00+02:00,0.191408
2022-10-23T18:00:00+02:00,0.200902
2022-10-23T19:00:00+02:00,0.207954
2022-10-23T20:00:00+02:00,0.192487
2022-10-23T21:00:00+02:00,0.174164
2022-10-23T22:00:00+02:00,0.167559
2022-10-23T23:00:00+02:00,0.160343
2022-10-24T00:00:00+02:00,0.140172
2022-10-24T01:00:00+02:00,0.137414
2022-10-24T02:00:00+02:00,0.124617
2022-10-24T03:00:00+02:00,0.110229
2022-10-24T04:00:00+02:00,0.122372
2022-10-24T05:00:00+02:00,0.135648
2022-10-24T06:00:00+02:00,0.146951
2022-10-24T07:00:00+02:00,0.188164
2022-10-24T08:00:00+02:00,0.216199
2022-10-24T09:00:00+02:00,0.201822
2022-10-24T10:00:00+02:00,0.192023
2022-10-24T11:00:00+02:00,0.164860
2022-10-24T12:00:00+02:00,0.148510
2022-10-24T13:00:00+02:00,0.155050
2022-10-24T14:00:00+02:00,0.157361
2022-10-24T15:00:00+02:00,0.166037
2022-10-24T16:00:00+02:00,0.173035
2022-10-24T17:00:00+02:00,0.200503
2022-10-24T18:00:00+02:00,0.209790
2022-10-24T19:00:00+02:00,0.220439
2022-10-24T20:00:00+02:00,0.199620
2022-10-24T21:00:00+02:00,0.177351
2022-10-24T22:00:00+02:00,0.176490
2022-10-24T23:00:00+02:00,0.168021
2022-10-25T00:00:00+02:00,0.145098
2022-10-25T01:00:00+02:00,0.138199
2022-10-25T02:00:00+02:00,0.144684
2022-10-25T03:00:00+02:00,0.144357
2022-10-25T04:00:00+02:00,0.156576
2022-10-25T05:00:00+02:00,0.160140
2022-10-25T06:00:00+02:00,0.171400
2022-10-25T07:00:00+02:00,0.177766
2022-10-25T08:00:00+02:00,0.200830
2022-10-25T09:00:00+02:00,0.217660
2022-10-25T10:00:00+02:00,0.189505
2022-10-25T11:00:00+02:00,0.186660
