datum,prijs
2022-10-23T00:00:00+02:00,0.208684
2022-10-23T01:00:00+02:00,0.196139
2022-10-23T02:00:00+02:00,0.190024
2022-10-23T03:00:00+02:00,0.186165
2022-10-23T04:00:00+02:00,0.193196
2022-10-23T05:00:00+02:00,0.185446
2022-10-23T06:00:00+02:00,0.202297
2022-10-23T07:00:00+02:00,0.207965
2022-10-23T08:00:00+02:00,0.217404
2022-10-23T09:00:00+02:00,0.212554
2022-10-23T10:00:00+02:00,0.192705
2022-10-23T11:00:00+02:00,0.189642
2022-10-23T12:00:00+02:00,0.178960
2022-10-23T13:00:00+02:00,0.171090
2022-10-23T14:00:00+02:00,0.173423
2022-10-23T15:00:00+02:00,0.173543
2022-10-23T16:00:00+02:00,0.184388
2022-10-23T17:00:00+02:00,0.197403
2022-10-23T18:00:00+02:00,0.206897
2022-10-23T19:00:00+02:00,0.213949
2022-10-23T20:00:00+02:00,0.198482
2022-10-23T21:00:00+02:00,0.180159
2022-10-23T22:00:00+02:00,0.173554
2022-10-23T23:00:00+02:00,0.166338
2022-10-24T00:00:00+02:00,0.145127
2022-10-24T01:00:00+02:00,0.142369
2022-10-24T02:00:00+02:00,0.129572
2022-10-24T03:00:00+02:00,0.115184
2022-10-24T04:00:00+02:00,0.127327
2022-10-24T05:00:00+02:00,0.140603
2022-10-24T06:00:00+02:00,0.151906
2022-10-24T07:00:00+02:00,0.193119
2022-10-24T08:00:00+02:00,0.221154
2022-10-24T09:00:00+02:00,0.206777
2022-10-24T10:00:00+02:00,0.196978
2022-10-24T11:00:00+02:00,0.169815
2022-10-24T12:00:00+02:00,0.153465
2022-10-24T13:00:00+02:00,0.160005
2022-10-24T14:00:00+02:00,0.162316
2022-10-24T15:00:00+02:00,0.170992
2022-10-24T16:00:00+02:00,0.177990
2022-10-24T17:00:00+02:00,0.205458
2022-10-24T18:00:00+02:00,0.214745
2022-10-24T19:00:00+02:00,0.225394
2022-10-24T20:00:00+02:00,0.204575
2022-10-24T21:00:00+02:00,0.182306
2022-10-24T22:00:00+02:00,0.181445
2022-10-24T23:00:00+02:00,0.172976
2022-10-25T00:00:00+02:00,0.153465
2022-10-25T01:00:00+02:00,0.142565
2022-10-25T02:00:00+02:00,0.153465
2022-10-25T03:00:00+02:00,0.153465
2022-10-25T04:00:00+02:00,0.164365
2022-10-25T05:00:00+02:00,0.164365
2022-10-25T06:00:00+02:00,0.175265
2022-10-25T07:00:00+02:00,0.186165
2022-10-25T08:00:00+02:00,0.207965
2022-10-25T09:00:00+02:00,0.218865
2022-10-25T10:00:00+02:00,0.197065
2022-10-25T11:00:00+02:00,0.197065
2022-10-25T12:00:00+02:00,0.186165
2022-10-25T13:00:00+02:00,0.164365
2022-10-25T14:00:00+02:00,0.164365
2022-10-25T15:00:00+02:00,0.175265
2022-10-25T16:00:00+02:00,0.197065
2022-10-25T17:00:00+02:00,0.251565
2022-10-25T18:00:00+02:00,0.284265
2022-10-25T19:00:00+02:00,0.284265
2022-10-25T20:00:00+02:00,0.251565
2022-10-25T21:00:00+02:00,0.218865
2022-10-25T22:00:00+02:00,0.207965
2022-10-25T23:00:00+02:00,0.207965
2022-10-26T00:00:00+02:00,0.182655
2022-10-26T01:00:00+02:00,0.183604
2022-10-26T02:00:00+02:00,0.180606
2022-10-26T03:00:00+02:00,0.171995
2022-10-26T04:00:00+02:00,0.170469
2022-10-26T05:00:00+02:00,0.168747
2022-10-26T06:00:00+02:00,0.175320
2022-10-26T07:00:00+02:00,0.186165
2022-10-26T08:00:00+02:00,0.253800
2022-10-26T09:00:00+02:00,0.236349
2022-10-26T10:00:00+02:00,0.222735
2022-10-26T11:00:00+02:00,0.175472
2022-10-26T12:00:00+02:00,0.175265
2022-10-26T13:00:00+02:00,0.183113
2022-10-26T14:00:00+02:00,0.174088
2022-10-26T15:00:00+02:00,0.182633
2022-10-26T16:00:00+02:00,0.137115
2022-10-26T17:00:00+02:00,0.234387
2022-10-26T18:00:00+02:00,0.218865
2022-10-26T19:00:00+02:00,0.207856
2022-10-26T20:00:00+02:00,0.198155
2022-10-26T21:00:00+02:00,0.183985
2022-10-26T22:00:00+02:00,0.186165
2022-10-26T23:00:00+02:00,0.181042
2022-10-27T00:00:00+02:00,0.186165
2022-10-27T01:00:00+02:00,0.197065
2022-10-27T02:00:00+02:00,0.197065
2022-10-27T03:00:00+02:00,0.186165
2022-10-27T04:00:00+02:00,0.197065
2022-10-27T05:00:00+02:00,0.207965
2022-10-27T06:00:00+02:00,0.218865
2022-10-27T07:00:00+02:00,0.262465
2022-10-27T08:00:00+02:00,0.284265
2022-10-27T09:00:00+02:00,0.240665
2022-10-27T10:00:00+02:00,0.229765
2022-10-27T11:00:00+02:00,0.218865
2022-10-27T12:00:00+02:00,0.197065
2022-10-27T13:00:00+02:00,0.197065
2022-10-27T14:00:00+02:00,0.197065
2022-10-27T15:00:00+02:00,0.218865
2022-10-27T16:00:00+02:00,0.240665
2022-10-27T17:00:00+02:00,0.262465
2022-10-27T18:00:00+02:00,0.262465
2022-10-27T19:00:00+02:00,0.240665
2022-10-27T20:00:00+02:00,0.229765
2022-10-27T21:00:00+02:00,0.229765
2022-10-27T22:00:00+02:00,0.218865
2022-10-27T23:00:00+02:00,0.197065
2022-10-28T00:00:00+02:00,0.186165
2022-10-28T01:00:00+02:00,0.186165
2022-10-28T02:00:00+02:00,0.186165
2022-10-28T03:00:00+02:00,0.186165
2022-10-28T04:00:00+02:00,0.186165
2022-10-28T05:00:00+02:00,0.186165
2022-10-28T06:00:00+02:00,0.207965
2022-10-28T07:00:00+02:00,0.229765
2022-10-28T08:00:00+02:00,0.229765
2022-10-28T09:00:00+02:00,0.218865
2022-10-28T10:00:00+02:00,0.207965
2022-10-28T11:00:00+02:00,0.197065
2022-10-28T12:00:00+02:00,0.186165
2022-10-28T13:00:00+02:00,0.175265
2022-10-28T14:00:00+02:00,0.175265
2022-10-28T15:00:00+02:00,0.175265
2022-10-28T16:00:00+02:00,0.186165
2022-10-28T17:00:00+02:00,0.218865
2022-10-28T18:00:00+02:00,0.229765
2022-10-28T19:00:00+02:00,0.229765
2022-10-28T20:00:00+02:00,0.207965
2022-10-28T21:00:00+02:00,0.197065
2022-10-28T22:00:00+02:00,0.197065
2022-10-28T23:00:00+02:00,0.186165
2022-10-29T00:00:00+02:00,0.186165
2022-10-29T01:00:00+02:00,0.186165
2022-10-29T02:00:00+02:00,0.186165
2022-10-29T03:00:00+02:00,0.186165
2022-10-29T04:00:00+02:00,0.186165
2022-10-29T05:00:00+02:00,0.186165
2022-10-29T06:00:00+02:00,0.186165
2022-10-29T07:00:00+02:00,0.197065
2022-10-29T08:00:00+02:00,0.218865
2022-10-29T09:00:00+02:00,0.207965
2022-10-29T10:00:00+02:00,0.197065
2022-10-29T11:00:00+02:00,0.186165
2022-10-29T12:00:00+02:00,0.175265
2022-10-29T13:00:00+02:00,0.175265
2022-10-29T14:00:00+02:00,0.175265
2022-10-29T15:00:00+02:00,0.186165
2022-10-29T16:00:00+02:00,0.186165
2022-10-29T17:00:00+02:00,0.207965
2022-10-29T18:00:00+02:00,0.229765
2022-10-29T19:00:00+02:00,0.229765
2022-10-29T20:00:00+02:00,0.207965
2022-10-29T21:00:00+02:00,0.207965
2022-10-29T22:00:00+02:00,0.197065
2022-10-29T23:00:00+02:00,0.197065
2022-10-30T00:00:00+02:00,0.197065
2022-10-30T01:00:00+01:00,0.197065
2022-10-30T02:00:00+01:00,0.197065
2022-10-30T03:00:00+01:00,0.197065
2022-10-30T04:00:00+01:00,0.197065
2022-10-30T05:00:00+01:00,0.207965
2022-10-30T06:00:00+01:00,0.207965
2022-10-30T07:00:00+01:00,0.197065
2022-10-30T08:00:00+01:00,0.197065
2022-10-30T09:00:00+01:00,0.197065
2022-10-30T10:00:00+01:00,0.197065
2022-10-30T11:00:00+01:00,0.197065
2022-10-30T12:00:00+01:00,0.207965
2022-10-30T13:00:00+01:00,0.218865
2022-10-30T14:00:00+01:00,0.240665
2022-10-30T15:00:00+01:00,0.262465
2022-10-30T16:00:00+01:00,0.273365
2022-10-30T17:00:00+01:00,0.273365
2022-10-30T18:00:00+01:00,0.251565
2022-10-30T19:00:00+01:00,0.240665
2022-10-30T20:00:00+01:00,0.229765
2022-10-30T21:00:00+01:00,0.207965
2022-10-30T22:00:00+01:00,0.226495
2022-10-30T23:00:00+01:00,0.207158
2022-10-31T00:00:00+01:00,0.218865
2022-10-31T01:00:00+01:00,0.218865
2022-10-31T02:00:00+01:00,0.218865
2022-10-31T03:00:00+01:00,0.207965
2022-10-31T04:00:00+01:00,0.218865
2022-10-31T05:00:00+01:00,0.218865
2022-10-31T06:00:00+01:00,0.251565
2022-10-31T07:00:00+01:00,0.273365
2022-10-31T08:00:00+01:00,0.273365
2022-10-31T09:00:00+01:00,0.251565
2022-10-31T10:00:00+01:00,0.240665
2022-10-31T11:00:00+01:00,0.240665
2022-10-31T12:00:00+01:00,0.240665
2022-10-31T13:00:00+01:00,0.251565
2022-10-31T14:00:00+01:00,0.262465
2022-10-31T15:00:00+01:00,0.273365
2022-10-31T16:00:00+01:00,0.273365
2022-10-31T17:00:00+01:00,0.295165
2022-10-31T18:00:00+01:00,0.284265
2022-10-31T19:00:00+01:00,0.273365
2022-10-31T20:00:00+01:00,0.251565
2022-10-31T21:00:00+01:00,0.240665
2022-10-31T22:00:00+01:00,0.218865
2022-10-31T23:00:00+01:00,0.197065
2022-11-01T00:00:00+01:00,0.186165
2022-11-01T01:00:00+01:00,0.175265
2022-11-01T02:00:00+01:00,0.153465
2022-11-01T03:00:00+01:00,0.131665
2022-11-01T04:00:00+01:00,0.131665
2022-11-01T05:00:00+01:00,0.153465
2022-11-01T06:00:00+01:00,0.153465
2022-11-01T07:00:00+01:00,0.175265
2022-11-01T08:00:00+01:00,0.186165
2022-11-01T09:00:00+01:00,0.164365
2022-11-01T10:00:00+01:00,0.153465
2022-11-01T11:00:00+01:00,0.142565
2022-11-01T12:00:00+01:00,0.131665
2022-11-01T13:00:00+01:00,0.131665
2022-11-01T14:00:00+01:00,0.164365
2022-11-01T15:00:00+01:00,0.175265
2022-11-01T16:00:00+01:00,0.186165
2022-11-01T17:00:00+01:00,0.207965
2022-11-01T18:00:00+01:00,0.218865
2022-11-01T19:00:00+01:00,0.207965
2022-11-01T20:00:00+01:00,0.186165
2022-11-01T21:00:00+01:00,0.175265
2022-11-01T22:00:00+01:00,0.175265
2022-11-01T23:00:00+01:00,0.131665
2022-11-02T00:00:00+01:00,0.131665
2022-11-02T01:00:00+01:00,0.109865
2022-11-02T02:00:00+01:00,0.098965
2022-11-02T03:00:00+01:00,0.098965
2022-11-02T04:00:00+01:00,0.109865
2022-11-02T05:00:00+01:00,0.131665
2022-11-02T06:00:00+01:00,0.175265
2022-11-02T07:00:00+01:00,0.197065
2022-11-02T08:00:00+01:00,0.218865
2022-11-02T09:00:00+01:00,0.197065
2022-11-02T10:00:00+01:00,0.164365
2022-11-02T11:00:00+01:00,0.142565
2022-11-02T12:00:00+01:00,0.142565
2022-11-02T13:00:00+01:00,0.153465
2022-11-02T14:00:00+01:00,0.175265
2022-11-02T15:00:00+01:00,0.186165
2022-11-02T16:00:00+01:00,0.197065
2022-11-02T17:00:00+01:00,0.251565
2022-11-02T18:00:00+01:00,0.240665
2022-11-02T19:00:00+01:00,0.197065
2022-11-02T20:00:00+01:00,0.186165
2022-11-02T21:00:00+01:00,0.186165
2022-11-02T22:00:00+01:00,0.186165
2022-11-02T23:00:00+01:00,0.175265
2022-11-03T00:00:00+01:00,0.164365
2022-11-03T01:00:00+01:00,0.142565
2022-11-03T02:00:00+01:00,0.120765
2022-11-03T03:00:00+01:00,0.131665
2022-11-03T04:00:00+01:00,0.120765
2022-11-03T05:00:00+01:00,0.153465
2022-11-03T06:00:00+01:00,0.175265
2022-11-03T07:00:00+01:00,0.197065
2022-11-03T08:00:00+01:00,0.207965
2022-11-03T09:00:00+01:00,0.207965
2022-11-03T10:00:00+01:00,0.186165
2022-11-03T11:00:00+01:00,0.207965
2022-11-03T12:00:00+01:00,0.197065
2022-11-03T13:00:00+01:00,0.229765
2022-11-03T14:00:00+01:00,0.207965
2022-11-03T15:00:00+01:00,0.240665
2022-11-03T16:00:00+01:00,0.229765
2022-11-03T17:00:00+01:00,0.229765
2022-11-03T18:00:00+01:00,0.240665
2022-11-03T19:00:00+01:00,0.229765
2022-11-03T20:00:00+01:00,0.229765
2022-11-03T21:00:00+01:00,0.218865
2022-11-03T22:00:00+01:00,0.229765
2022-11-03T23:00:00+01:00,0.207960
2022-11-04T00:00:00+01:00,0.262460
2022-11-04T01:00:00+01:00,0.207960
2022-11-04T02:00:00+01:00,0.240660
2022-11-04T03:00:00+01:00,0.240660
2022-11-04T04:00:00+01:00,0.218860
2022-11-04T05:00:00+01:00,0.229760
2022-11-04T06:00:00+01:00,0.273360
2022-11-04T07:00:00+01:00,0.316960
2022-11-04T08:00:00+01:00,0.327860
2022-11-04T09:00:00+01:00,0.316960
2022-11-04T10:00:00+01:00,0.306060
2022-11-04T11:00:00+01:00,0.284260
2022-11-04T12:00:00+01:00,0.273360
2022-11-04T13:00:00+01:00,0.295160
2022-11-04T14:00:00+01:00,0.251560
2022-11-04T15:00:00+01:00,0.284260
2022-11-04T16:00:00+01:00,0.284260
2022-11-04T17:00:00+01:00,0.349660
2022-11-04T18:00:00+01:00,0.349660
2022-11-04T19:00:00+01:00,0.327860
2022-11-04T20:00:00+01:00,0.306060
2022-11-04T21:00:00+01:00,0.295160
2022-11-04T22:00:00+01:00,0.284260
2022-11-04T23:00:00+01:00,0.273360
2022-11-05T00:00:00+01:00,0.251560
2022-11-05T01:00:00+01:00,0.251560
2022-11-05T02:00:00+01:00,0.240660
2022-11-05T03:00:00+01:00,0.229760
2022-11-05T04:00:00+01:00,0.229760
2022-11-05T05:00:00+01:00,0.240660
2022-11-05T06:00:00+01:00,0.240660
2022-11-05T07:00:00+01:00,0.240660
2022-11-05T08:00:00+01:00,0.240660
2022-11-05T09:00:00+01:00,0.240660
2022-11-05T10:00:00+01:00,0.240660
2022-11-05T11:00:00+01:00,0.229760
2022-11-05T12:00:00+01:00,0.229760
2022-11-05T13:00:00+01:00,0.218860
2022-11-05T14:00:00+01:00,0.229760
2022-11-05T15:00:00+01:00,0.240660
2022-11-05T16:00:00+01:00,0.251560
2022-11-05T17:00:00+01:00,0.273360
2022-11-05T18:00:00+01:00,0.273360
2022-11-05T19:00:00+01:00,0.262460
2022-11-05T20:00:00+01:00,0.229760
2022-11-05T21:00:00+01:00,0.218860
2022-11-05T22:00:00+01:00,0.207960
2022-11-05T23:00:00+01:00,0.186160
2022-11-06T00:00:00+01:00,0.153460
2022-11-06T01:00:00+01:00,0.131660
2022-11-06T02:00:00+01:00,0.142560
2022-11-06T03:00:00+01:00,0.131660
2022-11-06T04:00:00+01:00,0.164360
2022-11-06T05:00:00+01:00,0.131660
2022-11-06T06:00:00+01:00,0.153460
2022-11-06T07:00:00+01:00,0.142560
2022-11-06T08:00:00+01:00,0.142560
2022-11-06T09:00:00+01:00,0.153460
2022-11-06T10:00:00+01:00,0.164360
2022-11-06T11:00:00+01:00,0.175260
2022-11-06T12:00:00+01:00,0.218860
2022-11-06T13:00:00+01:00,0.164360
2022-11-06T14:00:00+01:00,0.186160
2022-11-06T15:00:00+01:00,0.186160
2022-11-06T16:00:00+01:00,0.197060
2022-11-06T17:00:00+01:00,0.262460
2022-11-06T18:00:00+01:00,0.251560
2022-11-06T19:00:00+01:00,0.251560
2022-11-06T20:00:00+01:00,0.218860
2022-11-06T21:00:00+01:00,0.207960
2022-11-06T22:00:00+01:00,0.197060
2022-11-06T23:00:00+01:00,0.164360
2022-11-07T00:00:00+01:00,0.088060
2022-11-07T01:00:00+01:00,0.088060
2022-11-07T02:00:00+01:00,0.088060
2022-11-07T03:00:00+01:00,0.088060
2022-11-07T04:00:00+01:00,0.098960
2022-11-07T05:00:00+01:00,0.098960
2022-11-07T06:00:00+01:00,0.142560
2022-11-07T07:00:00+01:00,0.197060
2022-11-07T08:00:00+01:00,0.229760
2022-11-07T09:00:00+01:00,0.251560
2022-11-07T10:00:00+01:00,0.251560
2022-11-07T11:00:00+01:00,0.240660
2022-11-07T12:00:00+01:00,0.229760
2022-11-07T13:00:00+01:00,0.251560
2022-11-07T14:00:00+01:00,0.240660
2022-11-07T15:00:00+01:00,0.251560
2022-11-07T16:00:00+01:00,0.251560
2022-11-07T17:00:00+01:00,0.262460
2022-11-07T18:00:00+01:00,0.262460
2022-11-07T19:00:00+01:00,0.240660
