datum,prijs
2022-10-23T00:00:00+02:00,0.216760
2022-10-23T01:00:00+02:00,0.204214
2022-10-23T02:00:00+02:00,0.198100
2022-10-23T03:00:00+02:00,0.194241
2022-10-23T04:00:00+02:00,0.201271
2022-10-23T05:00:00+02:00,0.193522
2022-10-23T06:00:00+02:00,0.210373
2022-10-23T07:00:00+02:00,0.216041
2022-10-23T08:00:00+02:00,0.225480
2022-10-23T09:00:00+02:00,0.220630
2022-10-23T10:00:00+02:00,0.200781
2022-10-23T11:00:00+02:00,0.197718
2022-10-23T12:00:00+02:00,0.187036
2022-10-23T13:00:00+02:00,0.179166
2022-10-23T14:00:00+02:00,0.181499
2022-10-23T15:00:00+02:00,0.181619
2022-10-23T16:00:00+02:00,0.192464
2022-10-23T17:00:00+02:00,0.205479
2022-10-23T18:00:00+02:00,0.214973
2022-10-23T19:00:00+02:00,0.222025
2022-10-23T20:00:00+02:00,0.206558
2022-10-23T21:00:00+02:00,0.188235
2022-10-23T22:00:00+02:00,0.181630
2022-10-23T23:00:00+02:00,0.174414
2022-10-24T00:00:00+02:00,0.153202
2022-10-24T01:00:00+02:00,0.150445
2022-10-24T02:00:00+02:00,0.137648
2022-10-24T03:00:00+02:00,0.123260
2022-10-24T04:00:00+02:00,0.135403
2022-10-24T05:00:00+02:00,0.148679
2022-10-24T06:00:00+02:00,0.159982
2022-10-24T07:00:00+02:00,0.201195
2022-10-24T08:00:00+02:00,0.229230
2022-10-24T09:00:00+02:00,0.214853
2022-10-24T10:00:00+02:00,0.205054
2022-10-24T11:00:00+02:00,0.177891
2022-10-24T12:00:00+02:00,0.161541
2022-10-24T13:00:00+02:00,0.168081
2022-10-24T14:00:00+02:00,0.170392
2022-10-24T15:00:00+02:00,0.179068
2022-10-24T16:00:00+02:00,0.186066
2022-10-24T17:00:00+02:00,0.213534
2022-10-24T18:00:00+02:00,0.222821
2022-10-24T19:00:00+02:00,0.233470
2022-10-24T20:00:00+02:00,0.212651
2022-10-24T21:00:00+02:00,0.190382
2022-10-24T22:00:00+02:00,0.189521
2022-10-24T23:00:00+02:00,0.181052
2022-10-25T00:00:00+02:00,0.158129
2022-10-25T01:00:00+02:00,0.151230
2022-10-25T02:00:00+02:00,0.157715
2022-10-25T03:00:00+02:00,0.157388
2022-10-25T04:00:00+02:00,0.169607
2022-10-25T05:00:00+02:00,0.173171
2022-10-25T06:00:00+02:00,0.184431
2022-10-25T07:00:00+02:00,0.190797
2022-10-25T08:00:00+02:00,0.213861
2022-10-25T09:00:00+02:00,0.230691
2022-10-25T10:00:00+02:00,0.202536
2022-10-25T11:00:00+02:00,0.199691
2022-10-25T12:00:00+02:00,0.195734
2022-10-25T13:00:00+02:00,0.176986
2022-10-25T14:00:00+02:00,0.176005
2022-10-25T15:00:00+02:00,0.183341
2022-10-25T16:00:00+02:00,0.206983
2022-10-25T17:00:00+02:00,0.262508
2022-10-25T18:00:00+02:00,0.290760
2022-10-25T19:00:00+02:00,0.297540
2022-10-25T20:00:00+02:00,0.259532
2022-10-25T21:00:00+02:00,0.223518
2022-10-25T22:00:00+02:00,0.210918
2022-10-25T23:00:00+02:00,0.218581
2022-10-26T00:00:00+02:00,0.190731
2022-10-26T01:00:00+02:00,0.191679
2022-10-26T02:00:00+02:00,0.188682
2022-10-26T03:00:00+02:00,0.180071
2022-10-26T04:00:00+02:00,0.178545
2022-10-26T05:00:00+02:00,0.176823
2022-10-26T06:00:00+02:00,0.183395
2022-10-26T07:00:00+02:00,0.194241
2022-10-26T08:00:00+02:00,0.261875
2022-10-26T09:00:00+02:00,0.244425
2022-10-26T10:00:00+02:00,0.230810
2022-10-26T11:00:00+02:00,0.183548
2022-10-26T12:00:00+02:00,0.183341
2022-10-26T13:00:00+02:00,0.191189
2022-10-26T14:00:00+02:00,0.182164
2022-10-26T15:00:00+02:00,0.190709
2022-10-26T16:00:00+02:00,0.145191
2022-10-26T17:00:00+02:00,0.242463
2022-10-26T18:00:00+02:00,0.226941
2022-10-26T19:00:00+02:00,0.215932
2022-10-26T20:00:00+02:00,0.206231
2022-10-26T21:00:00+02:00,0.192061
