datum,prijs
2022-10-23T00:00:00+02:00,0.213870
2022-10-23T01:00:00+02:00,0.201324
2022-10-23T02:00:00+02:00,0.195209
2022-10-23T03:00:00+02:00,0.191350
2022-10-23T04:00:00+02:00,0.198381
2022-10-23T05:00:00+02:00,0.190631
2022-10-23T06:00:00+02:00,0.207482
2022-10-23T07:00:00+02:00,0.213150
2022-10-23T08:00:00+02:00,0.222590
2022-10-23T09:00:00+02:00,0.217739
2022-10-23T10:00:00+02:00,0.197890
2022-10-23T11:00:00+02:00,0.194827
2022-10-23T12:00:00+02:00,0.184145
2022-10-23T13:00:00+02:00,0.176275
2022-10-23T14:00:00+02:00,0.178608
2022-10-23T15:00:00+02:00,0.178728
2022-10-23T16:00:00+02:00,0.189573
2022-10-23T17:00:00+02:00,0.202588
2022-10-23T18:00:00+02:00,0.212082
2022-10-23T19:00:00+02:00,0.219134
2022-10-23T20:00:00+02:00,0.203667
2022-10-23T21:00:00+02:00,0.185344
2022-10-23T22:00:00+02:00,0.178739
2022-10-23T23:00:00+02:00,0.171523
2022-10-24T00:00:00+02:00,0.150312
2022-10-24T01:00:00+02:00,0.147554
2022-10-24T02:00:00+02:00,0.134757
2022-10-24T03:00:00+02:00,0.120369
2022-10-24T04:00:00+02:00,0.132512
2022-10-24T05:00:00+02:00,0.145788
2022-10-24T06:00:00+02:00,0.157091
2022-10-24T07:00:00+02:00,0.198304
2022-10-24T08:00:00+02:00,0.226339
2022-10-24T09:00:00+02:00,0.211962
2022-10-24T10:00:00+02:00,0.202163
2022-10-24T11:00:00+02:00,0.175000
2022-10-24T12:00:00+02:00,0.158650
2022-10-24T13:00:00+02:00,0.165190
2022-10-24T14:00:00+02:00,0.167501
2022-10-24T15:00:00+02:00,0.176177
2022-10-24T16:00:00+02:00,0.183175
2022-10-24T17:00:00+02:00,0.210643
2022-10-24T18:00:00+02:00,0.219930
2022-10-24T19:00:00+02:00,0.230579
2022-10-24T20:00:00+02:00,0.209760
2022-10-24T21:00:00+02:00,0.187492
2022-10-24T22:00:00+02:00,0.186630
2022-10-24T23:00:00+02:00,0.178161
2022-10-25T00:00:00+02:00,0.155238
2022-10-25T01:00:00+02:00,0.148339
2022-10-25T02:00:00+02:00,0.154824
2022-10-25T03:00:00+02:00,0.154497
2022-10-25T04:00:00+02:00,0.166716
2022-10-25T05:00:00+02:00,0.170280
2022-10-25T06:00:00+02:00,0.181540
2022-10-25T07:00:00+02:00,0.187906
2022-10-25T08:00:00+02:00,0.210970
2022-10-25T09:00:00+02:00,0.227800
2022-10-25T10:00:00+02:00,0.199645
2022-10-25T11:00:00+02:00,0.196800
2022-10-25T12:00:00+02:00,0.192843
2022-10-25T13:00:00+02:00,0.174095
2022-10-25T14:00:00+02:00,0.173114
2022-10-25T15:00:00+02:00,0.180450
