datum,prijs
2022-10-23T00:00:00+02:00,0.196149
2022-10-23T01:00:00+02:00,0.183604
2022-10-23T02:00:00+02:00,0.177489
2022-10-23T03:00:00+02:00,0.173630
2022-10-23T04:00:00+02:00,0.180661
2022-10-23T05:00:00+02:00,0.172911
2022-10-23T06:00:00+02:00,0.189762
2022-10-23T07:00:00+02:00,0.195430
2022-10-23T08:00:00+02:00,0.204869
2022-10-23T09:00:00+02:00,0.200019
2022-10-23T10:00:00+02:00,0.180170
2022-10-23T11:00:00+02:00,0.177107
2022-10-23T12:00:00+02:00,0.166425
2022-10-23T13:00:00+02:00,0.158555
2022-10-23T14:00:00+02:00,0.160888
2022-10-23T15:00:00+02:00,0.161008
2022-10-23T16:00:00+02:00,0.171853
2022-10-23T17:00:00+02:00,0.184868
2022-10-23T18:00:00+02:00,0.194362
2022-10-23T19:00:00+02:00,0.201414
2022-10-23T20:00:00+02:00,0.185947
2022-10-23T21:00:00+02:00,0.167624
2022-10-23T22:00:00+02:00,0.161019
2022-10-23T23:00:00+02:00,0.153803
2022-10-24T00:00:00+02:00,0.132592
2022-10-24T01:00:00+02:00,0.129834
2022-10-24T02:00:00+02:00,0.117037
2022-10-24T03:00:00+02:00,0.102649
2022-10-24T04:00:00+02:00,0.114792
2022-10-24T05:00:00+02:00,0.128068
2022-10-24T06:00:00+02:00,0.139371
2022-10-24T07:00:00+02:00,0.180584
2022-10-24T08:00:00+02:00,0.208619
2022-10-24T09:00:00+02:00,0.194242
2022-10-24T10:00:00+02:00,0.184443
2022-10-24T11:00:00+02:00,0.157280
2022-10-24T12:00:00+02:00,0.140930
2022-10-24T13:00:00+02:00,0.147470
2022-10-24T14:00:00+02:00,0.149781
2022-10-24T15:00:00+02:00,0.158457
2022-10-24T16:00:00+02:00,0.165455
2022-10-24T17:00:00+02:00,0.192923
2022-10-24T18:00:00+02:00,0.202210
2022-10-24T19:00:00+02:00,0.212859
2022-10-24T20:00:00+02:00,0.192040
2022-10-24T21:00:00+02:00,0.169771
2022-10-24T22:00:00+02:00,0.168910
2022-10-24T23:00:00+02:00,0.160441
2022-10-25T00:00:00+02:00,0.137518
2022-10-25T01:00:00+02:00,0.130619
2022-10-25T02:00:00+02:00,0.137104
2022-10-25T03:00:00+02:00,0.136777
2022-10-25T04:00:00+02:00,0.148996
2022-10-25T05:00:00+02:00,0.152560
2022-10-25T06:00:00+02:00,0.163820
2022-10-25T07:00:00+02:00,0.170186
2022-10-25T08:00:00+02:00,0.193250
2022-10-25T09:00:00+02:00,0.210080
2022-10-25T10:00:00+02:00,0.181925
2022-10-25T11:00:00+02:00,0.179080
2022-10-25T12:00:00+02:00,0.175123
2022-10-25T13:00:00+02:00,0.156375
2022-10-25T14:00:00+02:00,0.155394
2022-10-25T15:00:00+02:00,0.162730
2022-10-25T16:00:00+02:00,0.186372
2022-10-25T17:00:00+02:00,0.241897
2022-10-25T18:00:00+02:00,0.270150
2022-10-25T19:00:00+02:00,0.276929
2022-10-25T20:00:00+02:00,0.238921
2022-10-25T21:00:00+02:00,0.202907
2022-10-25T22:00:00+02:00,0.190307
2022-10-25T23:00:00+02:00,0.197970
2022-10-26T00:00:00+02:00,0.170120
2022-10-26T01:00:00+02:00,0.171069
2022-10-26T02:00:00+02:00,0.168071
2022-10-26T03:00:00+02:00,0.159460
2022-10-26T04:00:00+02:00,0.157934
2022-10-26T05:00:00+02:00,0.156212
2022-10-26T06:00:00+02:00,0.162785
2022-10-26T07:00:00+02:00,0.173630
2022-10-26T08:00:00+02:00,0.241265
2022-10-26T09:00:00+02:00,0.223814
2022-10-26T10:00:00+02:00,0.210200
2022-10-26T11:00:00+02:00,0.162937
2022-10-26T12:00:00+02:00,0.162730
2022-10-26T13:00:00+02:00,0.170578
2022-10-26T14:00:00+02:00,0.161553
2022-10-26T15:00:00+02:00,0.170098
2022-10-26T16:00:00+02:00,0.124580
2022-10-26T17:00:00+02:00,0.221852
2022-10-26T18:00:00+02:00,0.206330
2022-10-26T19:00:00+02:00,0.195321
2022-10-26T20:00:00+02:00,0.185620
2022-10-26T21:00:00+02:00,0.171450
2022-10-26T22:00:00+02:00,0.173630
2022-10-26T23:00:00+02:00,0.168507
2022-10-27T00:00:00+02:00,0.174153
2022-10-27T01:00:00+02:00,0.179592
2022-10-27T02:00:00+02:00,0.181620
2022-10-27T03:00:00+02:00,0.178426
2022-10-27T04:00:00+02:00,0.180922
2022-10-27T05:00:00+02:00,0.196095
2022-10-27T06:00:00+02:00,0.211769
2022-10-27T07:00:00+02:00,0.251162
2022-10-27T08:00:00+02:00,0.268733
2022-10-27T09:00:00+02:00,0.231073
2022-10-27T10:00:00+02:00,0.212369
2022-10-27T11:00:00+02:00,0.204499
2022-10-27T12:00:00+02:00,0.186775
2022-10-27T13:00:00+02:00,0.182023
2022-10-27T14:00:00+02:00,0.188051
2022-10-27T15:00:00+02:00,0.205556
2022-10-27T16:00:00+02:00,0.228740
2022-10-27T17:00:00+02:00,0.249450
2022-10-27T18:00:00+02:00,0.247652
2022-10-27T19:00:00+02:00,0.233515
2022-10-27T20:00:00+02:00,0.219214
2022-10-27T21:00:00+02:00,0.215050
2022-10-27T22:00:00+02:00,0.206853
2022-10-27T23:00:00+02:00,0.182666
2022-10-28T00:00:00+02:00,0.170262
2022-10-28T01:00:00+02:00,0.169379
2022-10-28T02:00:00+02:00,0.169739
2022-10-28T03:00:00+02:00,0.171385
2022-10-28T04:00:00+02:00,0.170709
2022-10-28T05:00:00+02:00,0.176104
2022-10-28T06:00:00+02:00,0.200313
2022-10-28T07:00:00+02:00,0.214429
2022-10-28T08:00:00+02:00,0.220467
2022-10-28T09:00:00+02:00,0.206156
2022-10-28T10:00:00+02:00,0.194569
2022-10-28T11:00:00+02:00,0.183091
2022-10-28T12:00:00+02:00,0.178317
2022-10-28T13:00:00+02:00,0.166218
2022-10-28T14:00:00+02:00,0.167254
2022-10-28T15:00:00+02:00,0.158915
2022-10-28T16:00:00+02:00,0.175014
2022-10-28T17:00:00+02:00,0.206221
2022-10-28T18:00:00+02:00,0.216227
2022-10-28T19:00:00+02:00,0.213938
2022-10-28T20:00:00+02:00,0.197294
2022-10-28T21:00:00+02:00,0.185424
2022-10-28T22:00:00+02:00,0.185402
2022-10-28T23:00:00+02:00,0.175843
2022-10-29T00:00:00+02:00,0.177314
2022-10-29T01:00:00+02:00,0.176649
2022-10-29T02:00:00+02:00,0.174077
2022-10-29T03:00:00+02:00,0.171428
2022-10-29T04:00:00+02:00,0.170360
2022-10-29T05:00:00+02:00,0.169935
2022-10-29T06:00:00+02:00,0.171930
2022-10-29T07:00:00+02:00,0.185337
2022-10-29T08:00:00+02:00,0.200924
2022-10-29T09:00:00+02:00,0.194340
2022-10-29T10:00:00+02:00,0.179603
2022-10-29T11:00:00+02:00,0.170360
2022-10-29T12:00:00+02:00,0.165063
2022-10-29T13:00:00+02:00,0.163188
2022-10-29T14:00:00+02:00,0.165706
2022-10-29T15:00:00+02:00,0.169444
2022-10-29T16:00:00+02:00,0.169270
2022-10-29T17:00:00+02:00,0.199594
2022-10-29T18:00:00+02:00,0.218309
2022-10-29T19:00:00+02:00,0.217132
2022-10-29T20:00:00+02:00,0.199539
2022-10-29T21:00:00+02:00,0.195321
2022-10-29T22:00:00+02:00,0.188083
2022-10-29T23:00:00+02:00,0.181794
2022-10-30T00:00:00+02:00,0.187811
2022-10-30T01:00:00+01:00,0.185064
2022-10-30T02:00:00+01:00,0.184759
2022-10-30T03:00:00+01:00,0.182710
2022-10-30T04:00:00+01:00,0.182862
2022-10-30T05:00:00+01:00,0.183418
2022-10-30T06:00:00+01:00,0.185130
2022-10-30T07:00:00+01:00,0.195474
2022-10-30T08:00:00+01:00,0.199049
2022-10-30T09:00:00+01:00,0.189086
2022-10-30T10:00:00+01:00,0.182143
2022-10-30T11:00:00+01:00,0.184563
2022-10-30T12:00:00+01:00,0.184530
2022-10-30T13:00:00+01:00,0.184530
2022-10-30T14:00:00+01:00,0.194809
2022-10-30T15:00:00+01:00,0.211355
2022-10-30T16:00:00+01:00,0.228163
2022-10-30T17:00:00+01:00,0.245570
2022-10-30T18:00:00+01:00,0.261244
2022-10-30T19:00:00+01:00,0.255380
2022-10-30T20:00:00+01:00,0.236327
2022-10-30T21:00:00+01:00,0.226887
2022-10-30T22:00:00+01:00,0.213960
2022-10-30T23:00:00+01:00,0.194623
