datum,prijs
2022-10-23T00:00:00+02:00,0.208679
2022-10-23T01:00:00+02:00,0.196133
2022-10-23T02:00:00+02:00,0.190018
2022-10-23T03:00:00+02:00,0.186160
2022-10-23T04:00:00+02:00,0.193190
2022-10-23T05:00:00+02:00,0.185440
2022-10-23T06:00:00+02:00,0.202292
2022-10-23T07:00:00+02:00,0.207960
2022-10-23T08:00:00+02:00,0.217399
2022-10-23T09:00:00+02:00,0.212548
2022-10-23T10:00:00+02:00,0.192700
2022-10-23T11:00:00+02:00,0.189637
2022-10-23T12:00:00+02:00,0.178955
2022-10-23T13:00:00+02:00,0.171085
2022-10-23T14:00:00+02:00,0.173417
2022-10-23T15:00:00+02:00,0.173537
2022-10-23T16:00:00+02:00,0.184383
2022-10-23T17:00:00+02:00,0.197397
2022-10-23T18:00:00+02:00,0.206891
2022-10-23T19:00:00+02:00,0.213944
2022-10-23T20:00:00+02:00,0.198477
2022-10-23T21:00:00+02:00,0.180154
2022-10-23T22:00:00+02:00,0.173548
2022-10-23T23:00:00+02:00,0.166332
2022-10-24T00:00:00+02:00,0.145121
2022-10-24T01:00:00+02:00,0.142363
2022-10-24T02:00:00+02:00,0.129567
2022-10-24T03:00:00+02:00,0.115179
2022-10-24T04:00:00+02:00,0.127321
2022-10-24T05:00:00+02:00,0.140598
2022-10-24T06:00:00+02:00,0.151901
2022-10-24T07:00:00+02:00,0.193114
2022-10-24T08:00:00+02:00,0.221149
2022-10-24T09:00:00+02:00,0.206771
2022-10-24T10:00:00+02:00,0.196972
2022-10-24T11:00:00+02:00,0.169810
2022-10-24T12:00:00+02:00,0.153460
2022-10-24T13:00:00+02:00,0.160000
2022-10-24T14:00:00+02:00,0.162310
2022-10-24T15:00:00+02:00,0.170987
2022-10-24T16:00:00+02:00,0.177985
2022-10-24T17:00:00+02:00,0.205453
2022-10-24T18:00:00+02:00,0.214739
2022-10-24T19:00:00+02:00,0.225389
2022-10-24T20:00:00+02:00,0.204570
2022-10-24T21:00:00+02:00,0.182301
2022-10-24T22:00:00+02:00,0.181440
2022-10-24T23:00:00+02:00,0.172971
2022-10-25T00:00:00+02:00,0.150048
2022-10-25T01:00:00+02:00,0.143148
2022-10-25T02:00:00+02:00,0.149634
2022-10-25T03:00:00+02:00,0.149307
2022-10-25T04:00:00+02:00,0.161526
2022-10-25T05:00:00+02:00,0.165090
2022-10-25T06:00:00+02:00,0.176350
2022-10-25T07:00:00+02:00,0.182715
2022-10-25T08:00:00+02:00,0.205780
2022-10-25T09:00:00+02:00,0.222609
2022-10-25T10:00:00+02:00,0.194454
2022-10-25T11:00:00+02:00,0.191610
2022-10-25T12:00:00+02:00,0.187653
2022-10-25T13:00:00+02:00,0.168905
2022-10-25T14:00:00+02:00,0.167924
2022-10-25T15:00:00+02:00,0.175260
2022-10-25T16:00:00+02:00,0.198902
2022-10-25T17:00:00+02:00,0.254426
2022-10-25T18:00:00+02:00,0.282679
2022-10-25T19:00:00+02:00,0.289459
2022-10-25T20:00:00+02:00,0.251451
2022-10-25T21:00:00+02:00,0.215437
2022-10-25T22:00:00+02:00,0.202837
2022-10-25T23:00:00+02:00,0.210499
2022-10-26T00:00:00+02:00,0.182650
2022-10-26T01:00:00+02:00,0.183598
2022-10-26T02:00:00+02:00,0.180601
2022-10-26T03:00:00+02:00,0.171990
2022-10-26T04:00:00+02:00,0.170464
2022-10-26T05:00:00+02:00,0.168741
2022-10-26T06:00:00+02:00,0.175314
2022-10-26T07:00:00+02:00,0.186160
2022-10-26T08:00:00+02:00,0.253794
2022-10-26T09:00:00+02:00,0.236343
2022-10-26T10:00:00+02:00,0.222729
2022-10-26T11:00:00+02:00,0.175467
2022-10-26T12:00:00+02:00,0.175260
2022-10-26T13:00:00+02:00,0.183108
2022-10-26T14:00:00+02:00,0.174082
2022-10-26T15:00:00+02:00,0.182628
2022-10-26T16:00:00+02:00,0.137110
2022-10-26T17:00:00+02:00,0.234381
2022-10-26T18:00:00+02:00,0.218860
2022-10-26T19:00:00+02:00,0.207851
2022-10-26T20:00:00+02:00,0.198150
2022-10-26T21:00:00+02:00,0.183980
2022-10-26T22:00:00+02:00,0.186160
2022-10-26T23:00:00+02:00,0.181037
2022-10-27T00:00:00+02:00,0.186683
2022-10-27T01:00:00+02:00,0.192122
2022-10-27T02:00:00+02:00,0.194149
2022-10-27T03:00:00+02:00,0.190956
2022-10-27T04:00:00+02:00,0.193452
2022-10-27T05:00:00+02:00,0.208624
2022-10-27T06:00:00+02:00,0.224299
2022-10-27T07:00:00+02:00,0.263691
2022-10-27T08:00:00+02:00,0.281262
2022-10-27T09:00:00+02:00,0.243603
2022-10-27T10:00:00+02:00,0.224898
2022-10-27T11:00:00+02:00,0.217028
2022-10-27T12:00:00+02:00,0.199305
2022-10-27T13:00:00+02:00,0.194553
