datum,prijs
2022-10-23T00:00:00+02:00,0.196672
2022-10-23T01:00:00+02:00,0.184126
2022-10-23T02:00:00+02:00,0.178011
2022-10-23T03:00:00+02:00,0.174152
2022-10-23T04:00:00+02:00,0.181183
2022-10-23T05:00:00+02:00,0.173433
2022-10-23T06:00:00+02:00,0.190284
2022-10-23T07:00:00+02:00,0.195952
2022-10-23T08:00:00+02:00,0.205392
2022-10-23T09:00:00+02:00,0.200541
2022-10-23T10:00:00+02:00,0.180692
2022-10-23T11:00:00+02:00,0.177630
2022-10-23T12:00:00+02:00,0.166948
2022-10-23T13:00:00+02:00,0.159078
2022-10-23T14:00:00+02:00,0.161410
2022-10-23T15:00:00+02:00,0.161530
2022-10-23T16:00:00+02:00,0.172376
2022-10-23T17:00:00+02:00,0.185390
2022-10-23T18:00:00+02:00,0.194884
2022-10-23T19:00:00+02:00,0.201937
2022-10-23T20:00:00+02:00,0.186469
2022-10-23T21:00:00+02:00,0.168147
2022-10-23T22:00:00+02:00,0.161541
2022-10-23T23:00:00+02:00,0.154325
2022-10-24T00:00:00+02:00,0.133114
2022-10-24T01:00:00+02:00,0.130356
2022-10-24T02:00:00+02:00,0.117560
2022-10-24T03:00:00+02:00,0.103172
2022-10-24T04:00:00+02:00,0.115314
2022-10-24T05:00:00+02:00,0.128590
2022-10-24T06:00:00+02:00,0.139894
2022-10-24T07:00:00+02:00,0.181107
2022-10-24T08:00:00+02:00,0.209141
2022-10-24T09:00:00+02:00,0.194764
2022-10-24T10:00:00+02:00,0.184965
2022-10-24T11:00:00+02:00,0.157802
2022-10-24T12:00:00+02:00,0.141452
2022-10-24T13:00:00+02:00,0.147992
2022-10-24T14:00:00+02:00,0.150303
2022-10-24T15:00:00+02:00,0.158980
2022-10-24T16:00:00+02:00,0.165977
2022-10-24T17:00:00+02:00,0.193445
2022-10-24T18:00:00+02:00,0.202732
2022-10-24T19:00:00+02:00,0.213382
2022-10-24T20:00:00+02:00,0.192563
2022-10-24T21:00:00+02:00,0.170294
2022-10-24T22:00:00+02:00,0.169433
2022-10-24T23:00:00+02:00,0.160963
2022-10-25T00:00:00+02:00,0.138041
2022-10-25T01:00:00+02:00,0.131141
2022-10-25T02:00:00+02:00,0.137627
2022-10-25T03:00:00+02:00,0.137300
2022-10-25T04:00:00+02:00,0.149518
2022-10-25T05:00:00+02:00,0.153083
2022-10-25T06:00:00+02:00,0.164342
2022-10-25T07:00:00+02:00,0.170708
2022-10-25T08:00:00+02:00,0.193772
2022-10-25T09:00:00+02:00,0.210602
2022-10-25T10:00:00+02:00,0.182447
2022-10-25T11:00:00+02:00,0.179602
2022-10-25T12:00:00+02:00,0.175646
2022-10-25T13:00:00+02:00,0.156898
2022-10-25T14:00:00+02:00,0.155917
2022-10-25T15:00:00+02:00,0.163252
2022-10-25T16:00:00+02:00,0.186895
2022-10-25T17:00:00+02:00,0.242419
2022-10-25T18:00:00+02:00,0.270672
2022-10-25T19:00:00+02:00,0.277452
2022-10-25T20:00:00+02:00,0.239443
2022-10-25T21:00:00+02:00,0.203430
2022-10-25T22:00:00+02:00,0.190829
2022-10-25T23:00:00+02:00,0.198492
2022-10-26T00:00:00+02:00,0.170643
2022-10-26T01:00:00+02:00,0.171591
2022-10-26T02:00:00+02:00,0.168593
2022-10-26T03:00:00+02:00,0.159982
2022-10-26T04:00:00+02:00,0.158456
2022-10-26T05:00:00+02:00,0.156734
2022-10-26T06:00:00+02:00,0.163307
2022-10-26T07:00:00+02:00,0.174152
2022-10-26T08:00:00+02:00,0.241787
2022-10-26T09:00:00+02:00,0.224336
2022-10-26T10:00:00+02:00,0.210722
2022-10-26T11:00:00+02:00,0.163460
2022-10-26T12:00:00+02:00,0.163252
2022-10-26T13:00:00+02:00,0.171100
2022-10-26T14:00:00+02:00,0.162075
2022-10-26T15:00:00+02:00,0.170621
